"tvo","1. Кількість виборців","2. Взяли участь","3. Недійсних бюлетенів","Богословська","Бродський","Гриценко","Костенко","Литвин","Мороз","Пабат","Противсіх","Ратушняк","Рябоконь","Симоненко","Супрун","Тимошенко","Тігіпко","Тягнибок","Ющенко","Янукович","Яценюк","4. Не підтр. жодного"
"90",122856,83801,1513,59,75,540,326,1327,334,57,472,56,36,432,175,30796,3151,3598,25135,4660,9602,1457
"91",203413,137304,1890,314,66,1966,189,5779,514,116,200,86,54,3246,346,58547,21008,2735,2431,22811,11017,3988
"92",109063,67614,1355,141,47,1089,365,2479,372,78,164,51,28,1258,143,27927,9270,1034,1829,11721,6275,1988
"93",124230,83467,1579,110,85,667,166,2719,1141,70,250,86,41,1718,492,39579,9803,1082,2643,12078,7447,1711
"94",122638,81483,1307,121,59,704,224,3889,714,90,187,84,41,1545,286,37679,9532,1167,2633,12493,6735,1993
"95",150907,99587,1810,188,73,1534,192,2252,267,115,205,85,36,1825,225,43984,15530,1514,3271,14977,8570,2934
"96",208507,132129,3030,249,106,2721,386,3910,434,164,289,105,59,2097,192,51504,23321,2600,4622,18935,12799,4606
"97",137495,88971,1483,156,80,961,362,3133,417,113,229,96,51,1925,186,37654,13240,1038,3590,13390,8112,2753
"98",204084,129766,2223,285,77,1884,264,4630,400,170,280,115,57,2352,159,51740,23285,1702,3515,21397,11187,4044
"99",193477,124572,2247,198,93,1961,415,4988,708,178,343,142,50,3146,325,51067,20070,1911,4019,18223,10739,3749
"100",200269,121555,2116,240,56,1956,223,2887,444,150,183,69,32,3511,152,42338,26634,1161,1609,26912,7421,3460
"101",140482,89683,1553,158,79,715,188,5495,834,93,221,51,29,4396,161,32400,10257,510,1362,25282,4160,1739
"102",134583,88629,1653,171,66,868,263,4938,580,84,250,69,40,3556,924,35349,9413,615,1919,19578,6540,1753
"103",167143,107267,1811,290,54,1176,250,5204,656,141,192,71,47,5770,187,37249,13150,901,1748,30510,5321,2538
"104",158866,101620,1500,361,77,1113,156,4057,332,152,212,71,37,5562,179,28596,14361,772,1447,33806,6261,2568
"105",160544,112117,1444,543,35,567,42,624,124,61,100,29,23,4718,27,6624,18081,356,663,73081,3087,1888
"106",153014,109451,1043,514,32,640,35,617,137,56,83,21,25,5232,39,7617,17484,329,782,69854,2943,1965
"107",132717,94012,1205,357,17,264,27,416,100,56,67,35,21,4014,38,6754,8608,178,621,67244,2001,1988
"108",175543,123265,1796,582,69,478,38,767,133,64,133,54,25,5664,75,9140,15635,325,943,82586,2588,2165
"109",167386,111713,1648,283,52,153,28,691,268,45,83,39,14,5344,67,8144,7253,158,707,82984,2259,1490
"110",160737,108854,2162,415,30,226,30,573,104,44,79,29,25,5344,38,5070,6362,151,662,83300,2784,1426
"111",146588,107246,938,258,37,257,38,484,87,42,108,53,11,4551,42,4430,6804,177,734,85025,2114,1056
