deputat,tvo,winner,likelihood,proposed,fraction,age,gender,spread
Лев Андрій Миколайович,21,0,0.216205714550413,слуга народу,NA,36,M,0
Кошарук Сергій Дмитрович,21,0,0.0759958154051481,європейська солідарність,NA,46,M,-0.140209899145265
Пісачук Сергій Васильович,22,1,0.661425910974905,слуга народу,NA,43,M,0.479174364145467
Палиця Ігор Петрович,22,0,0.182251546829438,unaffiliated,NA,47,M,0
Моклиця Юрій Володимирович,22,0,0.0718652640491969,європейська солідарність,NA,37,M,-0.110386282780241
Констанкевич Ірина Мирославівна,23,1,0.566370347491113,укроп,"член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",54,F,0.197515312293622
Приймачук Максим Петрович,23,0,0.368855035197491,слуга народу,NA,32,M,0
Сковорода Юрій Ігорович,23,0,0.0410185939522803,європейська солідарність,NA,30,M,-0.327836441245211
Кисилевський Дмитро Давидович,24,1,0.554563460424937,слуга народу,NA,36,M,0.194537184985755
Береза Юрій Миколайович,24,0,0.360026275439182,народний фронт,політичної партії народний фронт,49,M,0
Чебанов Олександр Владиславович,24,0,0.0419272772267415,unaffiliated,NA,46,M,-0.31809899821244
Курячий Максим Павлович,25,1,0.575318371904838,ex-БПП,left фракция БПП,40,M,0.205436808298972
Бужанський Максим Аркадійович,25,0,0.369881563605866,слуга народу,NA,45,M,0
Краснов Загід Геннадійович,25,0,0.0205895491709981,unaffiliated,NA,54,M,-0.349292014434868
Нестеренко Кирилл Олександрович,26,1,0.863006592880661,слуга народу,NA,26,M,0.823685240268056
Зеленюк Олександр Валерійович,26,0,0.0393213526126057,європейська солідарність,NA,34,M,0
Єрмолаєв Сергій Олександрович,26,0,0.0381172874694042,unaffiliated,NA,63,M,-0.00120406514320148
Ричкова Тетяна Борисівна,27,1,0.745381793120896,європейська солідарність,БПП,41,F,0.632007028675485
Андрійченко Олексій Дмитрович,27,0,0.113374764445411,unaffiliated,NA,48,M,0
Окунинець Сергій Васильович,27,0,0.0876600648641407,unaffiliated,NA,39,M,-0.0257146995812707
Мисягін Юрій Михайлович,28,1,0.542817846739247,слуга народу,NA,45,M,0.116775954395822
Куліченко Іван Іванович,28,0,0.426041892343424,БПП,БПП,64,M,0
Козар Володимир Васильович,28,0,0.0114743781816538,батьківщина,NA,39,M,-0.414567514161771
Демченко Сергій Олексійович,29,1,0.762744016876162,слуга народу,NA,43,M,0.669447215729932
